date,open,high,low,close,volume
08/02/2013,76.15,76.48,75.56,75.75,9131327
11/02/2013,75.41,75.92,75.12,75.81,6928133
12/02/2013,75.96,76.31,75.81,75.98,6280895
13/02/2013,76.01,76.58,75.98,76.56,7113744
14/02/2013,76.3,76.97,76.25,76.78,10049220
15/02/2013,76.72,76.96,76.215,76.54,11167270
19/02/2013,76.56,77.765,76.49,77.38,11783779
20/02/2013,77.27,77.52,76.92,77.08,9276578
21/02/2013,76.28,77.2,75.9,77.04,10305115
22/02/2013,77.05,77.19,76.753,76.99,8433393
25/02/2013,77.06,77.67,75.92,75.92,9970631
26/02/2013,75.99,76.38,75.77,76.08,8378943
27/02/2013,75.95,76.95,75.7,76.75,7568886
28/02/2013,76.66,76.91,76.17,76.18,10472126
01/03/2013,75.7,76.72,75.56,76.49,9601420
04/03/2013,76.25,76.68,75.97,76.68,7632002
05/03/2013,76.78,77.395,76.72,77.05,9716968
06/03/2013,77.01,77.45,76.81,77.2,7196031
07/03/2013,77.22,77.49,76.78,76.9,7111315
08/03/2013,77.01,77.2,76.46,77.18,7257183
11/03/2013,77.02,77.39,76.9,77.35,6621712
12/03/2013,77.19,77.45,77,77.17,7016698
13/03/2013,77.07,77.1,76.52,76.8,6339460
14/03/2013,76.87,77.475,76.83,77.39,8083421
15/03/2013,77.08,77.38,76.34,76.34,15250593
18/03/2013,75.9,76.55,75.8,76.16,7081774
19/03/2013,76.14,77.18,76.11,77.11,9296208
20/03/2013,77.29,77.82,77.271,77.58,8615706
21/03/2013,77.42,77.67,77.14,77.21,6320651
22/03/2013,77.18,77.45,77.005,77.27,5868393
25/03/2013,77.27,77.62,76.44,76.68,6843553
26/03/2013,77.02,77.5,76.891,77.4,5387106
27/03/2013,76.98,77.105,76.57,77.06,5274497
28/03/2013,76.95,77.16,76.66,77.06,8017630
01/04/2013,76.85,77.85,76.73,77.7,7268049
02/04/2013,77.84,79.15,77.65,78.96,13374295
03/04/2013,78.88,79.08,77.84,78.12,8427549
04/04/2013,78.39,78.98,78.25,78.54,8770319
05/04/2013,77.88,78.395,77.83,78.23,6565480
08/04/2013,78.12,78.88,77.88,78.79,6284447
09/04/2013,78.82,78.89,78.07,78.26,6760554
10/04/2013,78.49,79.49,78.43,79.24,7947900
11/04/2013,79.37,80.13,79.33,79.67,11832445
12/04/2013,79.51,80.66,79.47,80.08,9383865
15/04/2013,79.79,80.84,79.6,79.65,10877312
16/04/2013,79.83,80.21,79.37,80.1,9366412
17/04/2013,79.98,80.14,78.85,79.06,10964702
18/04/2013,79.09,80.1799,79.06,79.87,10895844
19/04/2013,80.37,81.7,80.2,81.43,13147597
22/04/2013,81.31,81.59,81.12,81.4,7530605
23/04/2013,81.46,82.54,80.51,82.54,12683540
24/04/2013,79.49,79.61,76.93,77.12,25706666
25/04/2013,77.67,77.67,76.35,76.58,14703010
26/04/2013,76.72,77.22,76.58,77.1,8769151
29/04/2013,77.56,77.98,77.23,77.68,6622787
30/04/2013,77.86,77.89,76.6,76.77,9655684
01/05/2013,76.83,77.77,76.72,76.99,8388710
02/05/2013,77.39,78.28,77.14,77.76,7288002
03/05/2013,78.1,78.46,77.66,78.19,7884967
06/05/2013,78.03,78.4,77.52,77.75,7204194
07/05/2013,77.98,78.2,77.27,77.94,9574192
08/05/2013,77.9,78.51,77.23,78.44,12067285
09/05/2013,78.57,78.89,78.02,78.21,7189550
10/05/2013,78.41,78.79,78.23,78.76,6163414
13/05/2013,78.51,78.97,78.42,78.59,5420181
14/05/2013,78.93,79.47,78.74,79.47,6872758
15/05/2013,79.47,81,79.47,80.68,11153845
16/05/2013,80.49,80.735,79.89,80.2,8065580
17/05/2013,79.91,80.18,79.305,80.02,8550094
20/05/2013,79.98,79.98,78.78,79.09,7307256
21/05/2013,79.17,79.22,78.22,78.8,7377650
22/05/2013,78.84,79.68,78.62,78.82,8873152
23/05/2013,78.27,79.11,78.23,78.7,7109033
24/05/2013,81.88,82.35,81.44,81.88,25580639
28/05/2013,82.05,82.13,80.77,80.86,14373221
29/05/2013,80.16,80.25,78.87,78.9,9992413
30/05/2013,78.9,79.88,78.9,79.09,14761292
31/05/2013,78.79,78.81,76.7525,76.76,16463049
03/06/2013,76.87,77.7,76.12,77.66,11722443
04/06/2013,77.71,78.47,76.75,77.37,11379261
05/06/2013,77.08,77.215,76.63,76.66,8826570
06/06/2013,76.56,76.97,75.83,76.82,11100096
07/06/2013,77.44,78.28,77.27,77.75,7839474
10/06/2013,77.69,78.22,77.26,78.07,8967455
11/06/2013,77.68,78.75,77.45,78.12,6781138
12/06/2013,78.64,78.89,77.48,77.6,7834172
13/06/2013,77.54,78.69,77.14,78.43,6928935
14/06/2013,78.49,78.79,77.67,78.03,6825874
17/06/2013,78.26,79.47,78.25,78.96,7363260
18/06/2013,78.95,79.23,78.7,79.04,6052040
19/06/2013,79.05,79.47,77.59,77.61,7424500
20/06/2013,77.21,77.33,75.1,75.25,15557692
21/06/2013,76.25,77.53,75.69,77.43,20058300
24/06/2013,76.95,77.43,75.63,76.58,12563745
25/06/2013,77.1,77.24,76.29,76.69,7911690
26/06/2013,77.23,77.59,77.02,77.4,7329439
27/06/2013,77.96,78.38,77.57,77.67,14731884
28/06/2013,77.62,77.94,76.9,76.99,9868254
01/07/2013,77.02,78.45,77,78.02,6699595
02/07/2013,77.95,78.61,77.71,78.44,10228897
03/07/2013,78.29,78.75,77.4301,78.57,5347846
05/07/2013,78.89,79.02,77.78,78.34,7265770
08/07/2013,78.54,79.0799,78.5,78.76,11153691
09/07/2013,79.07,79.9,79.07,79.57,11458302
10/07/2013,79.65,80.1,79.3,79.8,6906045
11/07/2013,80.55,80.99,80.29,80.77,9185540
12/07/2013,80.67,81.64,80.67,81.55,12587839
15/07/2013,81.37,81.59,80.845,81.51,10025177
16/07/2013,81.32,81.37,80.91,80.97,11208513
17/07/2013,80.49,80.85,80.01,80.09,7645591
18/07/2013,80.03,80.75,80.03,80.3,5525915
19/07/2013,80.36,81.41,80.05,81.37,7863205
