date,open,high,low,close,volume
08/02/2013,71.2,71.64,71.07,71.48,5906823
11/02/2013,71.25,71.51,70.53,71.4,6202534
12/02/2013,71.49,71.66,71.1,71.4,4761910
13/02/2013,71.29,71.7,71.21,71.39,3969807
14/02/2013,71.1,71.23,70.755,70.82,6820952
15/02/2013,69.54,70,68.13,69.3,25687156
19/02/2013,69.19,69.45,68.54,68.76,14683322
20/02/2013,68.72,69.85,68.3,69.21,11973720
21/02/2013,70,71.47,69.72,70.26,20425983
22/02/2013,70.22,70.54,69.89,70.4,9169060
25/02/2013,70.5,71.34,70.44,70.44,11819590
26/02/2013,70.69,71.39,70.61,71.11,10558487
27/02/2013,70.92,71.955,70.58,71.66,8820257
28/02/2013,71.59,71.88,70.78,70.78,18874853
01/03/2013,70.78,71.9,70.78,71.74,8902516
04/03/2013,71.52,73.26,71.51,73.26,10567354
05/03/2013,73.47,74.04,72.99,73.72,9093856
06/03/2013,73.75,74.13,73.2515,73.38,7152681
07/03/2013,73.4899,73.61,73.2,73.32,6689031
08/03/2013,73.3,73.39,72.84,73.03,5744563
11/03/2013,73.09,73.24,72.81,72.98,5149550
12/03/2013,72.95,73.9,72.84,73.6,8156286
13/03/2013,73.89,74.2,73.54,73.65,5326032
14/03/2013,73.87,74,73.13,73.22,6353199
15/03/2013,73.01,73.5,72.435,72.5,17206161
18/03/2013,72.29,72.73,72.01,72.25,5771090
19/03/2013,72.42,72.87,72.19,72.45,5751083
20/03/2013,72.81,73.375,72.74,72.99,6309979
21/03/2013,72.87,73.47,72.85,73.13,5494804
22/03/2013,73.35,74.29,73.29,74.28,7246230
25/03/2013,74.14,75.11,74.12,74.85,10438663
26/03/2013,74.93,75.09,74.43,74.77,6642358
27/03/2013,74.31,74.965,74.24,74.78,5970553
28/03/2013,74.84,74.97,74.38,74.83,7341433
01/04/2013,75,75.93,74.9,75.43,8416097
02/04/2013,75.55,76.05,75.42,76.02,6642176
03/04/2013,76.31,76.68,75.72,76,7453922
04/04/2013,76.03,76.58,75.96,76.2,7508315
05/04/2013,75.55,76.41,75.4325,76.39,5861325
08/04/2013,76.1,77.445,75.83,77.29,8075057
